vertical	returned_qty
WomenNightDressNighty	79207
MensCap	81163
RemoteControlToy	83099
WomenPoloTShirt	83897
MensSock	85060
SlingBag	86111
ShoulderBag	89851
ArtificialEarring	97307
ArtificialBangleBraceletArmlet	97836
GirlsDress	101247
HandBag	103950
WomenWedge	105227
SpiningPressLaunchToy	108805
ArtificialRing	116997
WomenHeel	117504
BoyShoe	119123
MensTrackPant	121458
MensShirt	121758
WomenJean	131381
WomenBra	135197
FashionBelt	135523
ArtificialJewellerySet	139246
FaceCare	148613
WomenCasualShoe	150867
MensSweatshirt	177512
KidWristWatch	193596
MensTrouser	201365
WomenFlat	215254
MensWallet	220322
WristWatch	226770
WomenKurti	236385
WomenDress	264559
MenFormalShoe	283416
WomenLehengaCholi	284607
MensJacket	319074
WomenWristWatch	359853
Sunglass	388718
Backpack	392256
WomenTop	399841
MenSlipperFlipFlop	411880
WomenKurta	483706
Book	494397
WomenFabric	540783
MenSandalFloater	564586
MensJean	657929
MensCasualShirt	703633
WomenSari	934656
MenWristWatch	1174210
MenSportShoe	1177052
MensPoloTShirt	1572913
MenCasualShoe	2483490
